################################# GMF factor8 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 8 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.1041, NDCG = 0.0463         [4.0 s]
Iteration 47 [14.8 s]: HR = 0.6368, NDCG = 0.3696, loss = 0.2653 [1.3 s]
Iteration 48 [14.4 s]: HR = 0.6373, NDCG = 0.3675, loss = 0.2655 [1.2 s]
Iteration 49 [14.5 s]: HR = 0.6358, NDCG = 0.3671, loss = 0.2654 [1.3 s]
End. Best Iteration 29:  HR = 0.6397, NDCG = 0.3685.
The best GMF model is saved to Pretrain/ml-1m_GMF_8_1736359119.h5

################################# GMF factor16 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 16 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.0947, NDCG = 0.0437         [7.0 s]
Iteration 0 [48.8 s]: HR = 0.5397, NDCG = 0.3021, loss = 0.3486 [2.2 s]
Iteration 1 [32.2 s]: HR = 0.6003, NDCG = 0.3412, loss = 0.2929 [2.4 s]
Iteration 2 [33.6 s]: HR = 0.6276, NDCG = 0.3626, loss = 0.2733 [2.5 s]
Iteration 3 [32.2 s]: HR = 0.6425, NDCG = 0.3720, loss = 0.2642 [2.4 s]
Iteration 4 [32.2 s]: HR = 0.6608, NDCG = 0.3848, loss = 0.2578 [2.3 s]
Iteration 5 [33.3 s]: HR = 0.6629, NDCG = 0.3894, loss = 0.2534 [2.3 s]
Iteration 6 [32.0 s]: HR = 0.6682, NDCG = 0.3911, loss = 0.2510 [2.5 s]
Iteration 7 [32.9 s]: HR = 0.6700, NDCG = 0.3927, loss = 0.2491 [2.5 s]
Iteration 8 [32.2 s]: HR = 0.6732, NDCG = 0.3975, loss = 0.2476 [2.3 s]
Iteration 9 [34.4 s]: HR = 0.6757, NDCG = 0.3967, loss = 0.2466 [2.0 s]
Iteration 10 [17.3 s]: HR = 0.6796, NDCG = 0.3998, loss = 0.2456 [1.2 s]
Iteration 11 [17.3 s]: HR = 0.6815, NDCG = 0.4049, loss = 0.2450 [1.2 s]
Iteration 12 [17.1 s]: HR = 0.6834, NDCG = 0.4035, loss = 0.2441 [1.2 s]
Iteration 13 [17.0 s]: HR = 0.6793, NDCG = 0.4026, loss = 0.2437 [1.2 s]
Iteration 14 [17.1 s]: HR = 0.6810, NDCG = 0.4058, loss = 0.2431 [1.2 s]
Iteration 15 [16.9 s]: HR = 0.6841, NDCG = 0.4074, loss = 0.2427 [1.2 s]
Iteration 16 [17.1 s]: HR = 0.6833, NDCG = 0.4070, loss = 0.2422 [1.2 s]
Iteration 17 [17.1 s]: HR = 0.6868, NDCG = 0.4081, loss = 0.2421 [1.2 s]
Iteration 18 [16.8 s]: HR = 0.6894, NDCG = 0.4088, loss = 0.2417 [1.2 s]
Iteration 19 [17.2 s]: HR = 0.6904, NDCG = 0.4107, loss = 0.2412 [1.2 s]
Iteration 20 [17.0 s]: HR = 0.6897, NDCG = 0.4092, loss = 0.2412 [1.2 s]
Iteration 21 [17.0 s]: HR = 0.6891, NDCG = 0.4096, loss = 0.2408 [1.2 s]
Iteration 22 [17.1 s]: HR = 0.6897, NDCG = 0.4095, loss = 0.2406 [1.2 s]
Iteration 23 [17.0 s]: HR = 0.6904, NDCG = 0.4091, loss = 0.2406 [1.2 s]
Iteration 24 [17.0 s]: HR = 0.6909, NDCG = 0.4098, loss = 0.2407 [1.2 s]
Iteration 25 [17.0 s]: HR = 0.6904, NDCG = 0.4111, loss = 0.2404 [1.2 s]
Iteration 26 [17.0 s]: HR = 0.6919, NDCG = 0.4128, loss = 0.2403 [1.2 s]
Iteration 27 [17.1 s]: HR = 0.6902, NDCG = 0.4115, loss = 0.2399 [1.2 s]
Iteration 28 [17.0 s]: HR = 0.6874, NDCG = 0.4106, loss = 0.2398 [1.1 s]
Iteration 29 [17.1 s]: HR = 0.6879, NDCG = 0.4091, loss = 0.2398 [1.2 s]
Iteration 30 [17.1 s]: HR = 0.6914, NDCG = 0.4105, loss = 0.2394 [1.2 s]
Iteration 31 [17.0 s]: HR = 0.6864, NDCG = 0.4087, loss = 0.2392 [1.2 s]
Iteration 32 [17.2 s]: HR = 0.6884, NDCG = 0.4096, loss = 0.2396 [1.2 s]
Iteration 33 [16.9 s]: HR = 0.6891, NDCG = 0.4108, loss = 0.2392 [1.2 s]
Iteration 34 [17.0 s]: HR = 0.6868, NDCG = 0.4092, loss = 0.2392 [1.2 s]
Iteration 35 [17.0 s]: HR = 0.6892, NDCG = 0.4096, loss = 0.2391 [1.2 s]
Iteration 36 [16.9 s]: HR = 0.6892, NDCG = 0.4093, loss = 0.2391 [1.2 s]
Iteration 37 [17.1 s]: HR = 0.6886, NDCG = 0.4100, loss = 0.2392 [1.2 s]
Iteration 38 [16.9 s]: HR = 0.6899, NDCG = 0.4099, loss = 0.2389 [1.2 s]
Iteration 39 [17.1 s]: HR = 0.6891, NDCG = 0.4110, loss = 0.2387 [1.2 s]
Iteration 40 [17.0 s]: HR = 0.6911, NDCG = 0.4115, loss = 0.2387 [1.2 s]
Iteration 41 [16.9 s]: HR = 0.6877, NDCG = 0.4103, loss = 0.2388 [1.2 s]
Iteration 42 [17.0 s]: HR = 0.6914, NDCG = 0.4130, loss = 0.2389 [1.2 s]
Iteration 43 [16.9 s]: HR = 0.6884, NDCG = 0.4110, loss = 0.2385 [1.2 s]
Iteration 44 [17.0 s]: HR = 0.6916, NDCG = 0.4115, loss = 0.2384 [1.2 s]
Iteration 45 [17.0 s]: HR = 0.6914, NDCG = 0.4123, loss = 0.2387 [1.2 s]
Iteration 46 [17.1 s]: HR = 0.6962, NDCG = 0.4125, loss = 0.2383 [1.2 s]
Iteration 47 [17.3 s]: HR = 0.6904, NDCG = 0.4118, loss = 0.2384 [1.2 s]
Iteration 48 [16.9 s]: HR = 0.6914, NDCG = 0.4103, loss = 0.2386 [1.2 s]
Iteration 49 [16.9 s]: HR = 0.6902, NDCG = 0.4117, loss = 0.2384 [1.2 s]
End. Best Iteration 46:  HR = 0.6962, NDCG = 0.4125.
The best GMF model is saved to Pretrain/ml-1m_GMF_16_1736387458.h5

################################# GMF factor32 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 32 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.0998, NDCG = 0.0454         [3.7 s]
Iteration 0 [34.7 s]: HR = 0.5801, NDCG = 0.3281, loss = 0.3343 [1.2 s]
Iteration 1 [24.7 s]: HR = 0.6288, NDCG = 0.3620, loss = 0.2808 [1.2 s]
Iteration 2 [24.9 s]: HR = 0.6546, NDCG = 0.3822, loss = 0.2622 [1.2 s]
Iteration 3 [24.6 s]: HR = 0.6750, NDCG = 0.3969, loss = 0.2517 [1.2 s]
Iteration 4 [24.6 s]: HR = 0.6795, NDCG = 0.4021, loss = 0.2442 [1.2 s]
Iteration 5 [24.6 s]: HR = 0.6950, NDCG = 0.4109, loss = 0.2384 [1.2 s]
Iteration 6 [24.5 s]: HR = 0.6977, NDCG = 0.4147, loss = 0.2337 [1.2 s]
Iteration 7 [24.5 s]: HR = 0.6997, NDCG = 0.4168, loss = 0.2302 [1.2 s]
Iteration 8 [24.5 s]: HR = 0.6980, NDCG = 0.4192, loss = 0.2275 [1.2 s]
Iteration 9 [24.5 s]: HR = 0.6995, NDCG = 0.4185, loss = 0.2254 [1.2 s]
Iteration 10 [24.5 s]: HR = 0.7022, NDCG = 0.4211, loss = 0.2239 [1.2 s]
Iteration 11 [24.6 s]: HR = 0.7007, NDCG = 0.4215, loss = 0.2224 [1.2 s]
Iteration 12 [25.2 s]: HR = 0.7010, NDCG = 0.4209, loss = 0.2212 [1.2 s]
Iteration 13 [24.9 s]: HR = 0.7043, NDCG = 0.4262, loss = 0.2203 [1.2 s]
Iteration 14 [24.7 s]: HR = 0.7061, NDCG = 0.4240, loss = 0.2195 [1.2 s]
Iteration 15 [24.6 s]: HR = 0.7050, NDCG = 0.4258, loss = 0.2188 [1.2 s]
Iteration 16 [24.6 s]: HR = 0.7028, NDCG = 0.4268, loss = 0.2181 [1.2 s]
Iteration 17 [24.6 s]: HR = 0.7061, NDCG = 0.4262, loss = 0.2172 [1.2 s]
Iteration 18 [24.6 s]: HR = 0.7036, NDCG = 0.4286, loss = 0.2170 [1.2 s]
Iteration 19 [24.6 s]: HR = 0.7066, NDCG = 0.4285, loss = 0.2165 [1.2 s]
Iteration 20 [24.5 s]: HR = 0.7065, NDCG = 0.4277, loss = 0.2160 [1.2 s]
Iteration 21 [24.7 s]: HR = 0.7046, NDCG = 0.4265, loss = 0.2156 [1.2 s]
Iteration 22 [24.5 s]: HR = 0.7030, NDCG = 0.4278, loss = 0.2154 [1.2 s]
Iteration 23 [24.6 s]: HR = 0.7096, NDCG = 0.4281, loss = 0.2150 [1.2 s]
Iteration 24 [24.5 s]: HR = 0.7089, NDCG = 0.4310, loss = 0.2147 [1.2 s]
Iteration 25 [24.6 s]: HR = 0.7066, NDCG = 0.4288, loss = 0.2143 [1.2 s]
Iteration 26 [25.5 s]: HR = 0.7081, NDCG = 0.4292, loss = 0.2144 [1.2 s]
Iteration 27 [25.1 s]: HR = 0.7084, NDCG = 0.4271, loss = 0.2138 [1.2 s]
Iteration 28 [24.9 s]: HR = 0.7036, NDCG = 0.4272, loss = 0.2135 [1.2 s]
Iteration 29 [25.4 s]: HR = 0.7041, NDCG = 0.4289, loss = 0.2133 [1.2 s]
Iteration 30 [25.7 s]: HR = 0.7088, NDCG = 0.4304, loss = 0.2130 [1.3 s]
Iteration 31 [25.5 s]: HR = 0.7083, NDCG = 0.4302, loss = 0.2127 [1.2 s]
Iteration 32 [25.2 s]: HR = 0.7083, NDCG = 0.4302, loss = 0.2126 [1.3 s]
Iteration 33 [25.5 s]: HR = 0.7089, NDCG = 0.4303, loss = 0.2126 [1.2 s]
Iteration 34 [25.5 s]: HR = 0.7094, NDCG = 0.4300, loss = 0.2124 [1.2 s]
Iteration 35 [27.0 s]: HR = 0.7129, NDCG = 0.4323, loss = 0.2123 [1.2 s]
Iteration 36 [28.2 s]: HR = 0.7066, NDCG = 0.4288, loss = 0.2122 [1.3 s]
Iteration 37 [26.8 s]: HR = 0.7114, NDCG = 0.4317, loss = 0.2120 [1.2 s]
Iteration 38 [25.3 s]: HR = 0.7061, NDCG = 0.4295, loss = 0.2121 [1.2 s]
Iteration 39 [24.5 s]: HR = 0.7084, NDCG = 0.4310, loss = 0.2118 [1.2 s]
Iteration 40 [24.3 s]: HR = 0.7104, NDCG = 0.4308, loss = 0.2116 [1.2 s]
Iteration 41 [24.3 s]: HR = 0.7088, NDCG = 0.4314, loss = 0.2117 [1.2 s]
Iteration 42 [24.3 s]: HR = 0.7056, NDCG = 0.4295, loss = 0.2111 [1.2 s]
Iteration 43 [24.3 s]: HR = 0.7065, NDCG = 0.4287, loss = 0.2111 [1.2 s]
Iteration 44 [24.5 s]: HR = 0.7066, NDCG = 0.4309, loss = 0.2112 [1.2 s]
Iteration 45 [24.6 s]: HR = 0.7081, NDCG = 0.4299, loss = 0.2109 [1.2 s]
Iteration 46 [25.6 s]: HR = 0.7124, NDCG = 0.4322, loss = 0.2110 [1.2 s]
Iteration 47 [25.4 s]: HR = 0.7098, NDCG = 0.4309, loss = 0.2108 [1.2 s]
Iteration 48 [25.2 s]: HR = 0.7098, NDCG = 0.4303, loss = 0.2109 [1.2 s]
Iteration 49 [25.1 s]: HR = 0.7075, NDCG = 0.4293, loss = 0.2110 [1.7 s]
End. Best Iteration 35:  HR = 0.7129, NDCG = 0.4323.
The best GMF model is saved to Pretrain/ml-1m_GMF_32_1736388673.h5

################################# GMF factor64 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 64 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.0935, NDCG = 0.0413         [3.7 s]
Iteration 0 [112.8 s]: HR = 0.6066, NDCG = 0.3424, loss = 0.3252 [1.6 s]
Iteration 1 [213.2 s]: HR = 0.6477, NDCG = 0.3761, loss = 0.2676 [1.5 s]
Iteration 2 [140.8 s]: HR = 0.6709, NDCG = 0.3939, loss = 0.2516 [1.4 s]
Iteration 3 [184.7 s]: HR = 0.6866, NDCG = 0.4069, loss = 0.2414 [1.4 s]
Iteration 4 [168.1 s]: HR = 0.6934, NDCG = 0.4142, loss = 0.2331 [1.4 s]
Iteration 5 [171.3 s]: HR = 0.6997, NDCG = 0.4189, loss = 0.2255 [1.6 s]
Iteration 6 [132.8 s]: HR = 0.6947, NDCG = 0.4208, loss = 0.2180 [1.4 s]
Iteration 7 [167.2 s]: HR = 0.6925, NDCG = 0.4210, loss = 0.2115 [1.5 s]
Iteration 8 [119.8 s]: HR = 0.6924, NDCG = 0.4224, loss = 0.2063 [1.5 s]
Iteration 9 [131.3 s]: HR = 0.6907, NDCG = 0.4215, loss = 0.2024 [1.6 s]
Iteration 10 [147.7 s]: HR = 0.6924, NDCG = 0.4253, loss = 0.1989 [1.5 s]
Iteration 11 [118.1 s]: HR = 0.6876, NDCG = 0.4216, loss = 0.1965 [1.5 s]
Iteration 12 [118.1 s]: HR = 0.6907, NDCG = 0.4235, loss = 0.1941 [1.4 s]
Iteration 13 [107.6 s]: HR = 0.6904, NDCG = 0.4241, loss = 0.1923 [1.4 s]
Iteration 14 [104.2 s]: HR = 0.6884, NDCG = 0.4241, loss = 0.1904 [1.4 s]
Iteration 15 [105.4 s]: HR = 0.6907, NDCG = 0.4235, loss = 0.1893 [1.4 s]
Iteration 16 [79.7 s]: HR = 0.6969, NDCG = 0.4246, loss = 0.1882 [1.4 s]
Iteration 17 [87.8 s]: HR = 0.6954, NDCG = 0.4236, loss = 0.1871 [1.4 s]
Iteration 18 [87.6 s]: HR = 0.6937, NDCG = 0.4245, loss = 0.1855 [1.4 s]
Iteration 19 [136.7 s]: HR = 0.6917, NDCG = 0.4226, loss = 0.1850 [1.4 s]
Iteration 20 [144.8 s]: HR = 0.6930, NDCG = 0.4222, loss = 0.1841 [1.5 s]
Iteration 21 [187.8 s]: HR = 0.6934, NDCG = 0.4231, loss = 0.1833 [1.5 s]
Iteration 22 [186.0 s]: HR = 0.6934, NDCG = 0.4248, loss = 0.1825 [1.6 s]
Iteration 23 [177.9 s]: HR = 0.6925, NDCG = 0.4236, loss = 0.1819 [1.5 s]
Iteration 24 [114.2 s]: HR = 0.6945, NDCG = 0.4217, loss = 0.1812 [1.5 s]
Iteration 25 [114.9 s]: HR = 0.6934, NDCG = 0.4232, loss = 0.1807 [1.5 s]
Iteration 26 [117.1 s]: HR = 0.6939, NDCG = 0.4229, loss = 0.1802 [1.5 s]
Iteration 27 [114.6 s]: HR = 0.6921, NDCG = 0.4223, loss = 0.1797 [1.5 s]
Iteration 28 [126.4 s]: HR = 0.6922, NDCG = 0.4224, loss = 0.1790 [1.5 s]
Iteration 29 [116.1 s]: HR = 0.6942, NDCG = 0.4207, loss = 0.1789 [1.5 s]
Iteration 30 [119.7 s]: HR = 0.6904, NDCG = 0.4184, loss = 0.1784 [1.5 s]
Iteration 31 [115.9 s]: HR = 0.6944, NDCG = 0.4216, loss = 0.1780 [1.5 s]
Iteration 32 [113.2 s]: HR = 0.6921, NDCG = 0.4193, loss = 0.1774 [1.5 s]
Iteration 33 [103.7 s]: HR = 0.6930, NDCG = 0.4211, loss = 0.1772 [1.5 s]
Iteration 34 [113.1 s]: HR = 0.6927, NDCG = 0.4232, loss = 0.1769 [1.5 s]
Iteration 35 [118.9 s]: HR = 0.6947, NDCG = 0.4206, loss = 0.1766 [1.5 s]
Iteration 36 [103.7 s]: HR = 0.6947, NDCG = 0.4227, loss = 0.1759 [1.5 s]
Iteration 37 [107.6 s]: HR = 0.6925, NDCG = 0.4213, loss = 0.1757 [1.5 s]
Iteration 38 [136.6 s]: HR = 0.6911, NDCG = 0.4202, loss = 0.1753 [1.8 s]
Iteration 39 [108.7 s]: HR = 0.6882, NDCG = 0.4172, loss = 0.1751 [1.4 s]
Iteration 40 [109.4 s]: HR = 0.6927, NDCG = 0.4197, loss = 0.1747 [1.4 s]
Iteration 41 [109.8 s]: HR = 0.6945, NDCG = 0.4197, loss = 0.1751 [1.4 s]
Iteration 42 [123.2 s]: HR = 0.6919, NDCG = 0.4182, loss = 0.1747 [1.4 s]
Iteration 43 [128.4 s]: HR = 0.6904, NDCG = 0.4204, loss = 0.1742 [1.4 s]
Iteration 44 [115.8 s]: HR = 0.6919, NDCG = 0.4197, loss = 0.1739 [1.3 s]
Iteration 45 [96.4 s]: HR = 0.6909, NDCG = 0.4192, loss = 0.1738 [1.4 s]
Iteration 46 [113.8 s]: HR = 0.6925, NDCG = 0.4189, loss = 0.1736 [1.4 s]
Iteration 47 [118.1 s]: HR = 0.6881, NDCG = 0.4183, loss = 0.1734 [1.5 s]
Iteration 48 [133.5 s]: HR = 0.6891, NDCG = 0.4165, loss = 0.1731 [1.7 s]
Iteration 49 [208.0 s]: HR = 0.6894, NDCG = 0.4187, loss = 0.1729 [1.8 s]
End. Best Iteration 5:  HR = 0.6997, NDCG = 0.4189.
The best GMF model is saved to Pretrain/ml-1m_GMF_64_1736390110.h5

################################# MLP factor8 ####################################
python MLP.py --dataset ml-1m --epochs 50 --batch_size 256 --layers [16,32,16,8] --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.1003, NDCG = 0.0448 [16.6]
Iteration 0 [89.7 s]: HR = 0.5075, NDCG = 0.2775, loss = 0.3506 [1.5 s]
Iteration 1 [44.8 s]: HR = 0.5621, NDCG = 0.3102, loss = 0.3145 [4.3 s]
Iteration 2 [51.1 s]: HR = 0.5907, NDCG = 0.3290, loss = 0.2983 [4.2 s]
Iteration 3 [43.0 s]: HR = 0.6000, NDCG = 0.3380, loss = 0.2894 [4.5 s]
Iteration 4 [61.6 s]: HR = 0.6078, NDCG = 0.3455, loss = 0.2839 [5.2 s]
Iteration 5 [50.2 s]: HR = 0.6111, NDCG = 0.3483, loss = 0.2804 [5.3 s]
Iteration 6 [77.2 s]: HR = 0.6174, NDCG = 0.3538, loss = 0.2778 [6.3 s]
Iteration 7 [79.0 s]: HR = 0.6225, NDCG = 0.3584, loss = 0.2758 [5.8 s]
Iteration 8 [34.8 s]: HR = 0.6273, NDCG = 0.3619, loss = 0.2744 [1.5 s]
Iteration 9 [20.7 s]: HR = 0.6308, NDCG = 0.3640, loss = 0.2731 [1.5 s]
Iteration 10 [20.4 s]: HR = 0.6268, NDCG = 0.3621, loss = 0.2720 [1.4 s]
Iteration 11 [19.6 s]: HR = 0.6326, NDCG = 0.3650, loss = 0.2711 [1.5 s]
Iteration 12 [20.6 s]: HR = 0.6354, NDCG = 0.3666, loss = 0.2703 [1.4 s]
Iteration 13 [19.7 s]: HR = 0.6374, NDCG = 0.3687, loss = 0.2697 [1.4 s]
Iteration 14 [20.7 s]: HR = 0.6354, NDCG = 0.3679, loss = 0.2690 [1.4 s]
Iteration 15 [22.6 s]: HR = 0.6409, NDCG = 0.3697, loss = 0.2684 [1.6 s]
Iteration 16 [22.4 s]: HR = 0.6459, NDCG = 0.3718, loss = 0.2682 [1.4 s]
Iteration 17 [19.7 s]: HR = 0.6399, NDCG = 0.3709, loss = 0.2678 [1.4 s]
Iteration 18 [19.8 s]: HR = 0.6389, NDCG = 0.3694, loss = 0.2671 [1.4 s]
Iteration 19 [19.5 s]: HR = 0.6389, NDCG = 0.3718, loss = 0.2672 [1.4 s]
Iteration 20 [19.9 s]: HR = 0.6429, NDCG = 0.3744, loss = 0.2670 [1.4 s]
Iteration 21 [19.9 s]: HR = 0.6432, NDCG = 0.3752, loss = 0.2665 [1.4 s]
Iteration 22 [20.5 s]: HR = 0.6460, NDCG = 0.3750, loss = 0.2663 [1.5 s]
Iteration 23 [20.7 s]: HR = 0.6452, NDCG = 0.3755, loss = 0.2657 [1.4 s]
Iteration 24 [20.4 s]: HR = 0.6464, NDCG = 0.3767, loss = 0.2658 [1.4 s]
Iteration 25 [20.6 s]: HR = 0.6444, NDCG = 0.3755, loss = 0.2655 [1.5 s]
Iteration 26 [20.3 s]: HR = 0.6450, NDCG = 0.3738, loss = 0.2656 [1.4 s]
Iteration 27 [20.7 s]: HR = 0.6430, NDCG = 0.3746, loss = 0.2654 [1.4 s]
Iteration 28 [21.1 s]: HR = 0.6469, NDCG = 0.3755, loss = 0.2650 [1.4 s]
Iteration 29 [20.9 s]: HR = 0.6490, NDCG = 0.3786, loss = 0.2648 [1.4 s]
Iteration 30 [20.6 s]: HR = 0.6444, NDCG = 0.3761, loss = 0.2649 [1.4 s]
Iteration 31 [20.3 s]: HR = 0.6455, NDCG = 0.3779, loss = 0.2648 [1.4 s]
Iteration 32 [20.4 s]: HR = 0.6454, NDCG = 0.3802, loss = 0.2647 [1.4 s]
Iteration 33 [20.4 s]: HR = 0.6447, NDCG = 0.3753, loss = 0.2646 [1.4 s]
Iteration 34 [20.1 s]: HR = 0.6475, NDCG = 0.3778, loss = 0.2642 [1.4 s]
Iteration 35 [20.9 s]: HR = 0.6464, NDCG = 0.3777, loss = 0.2643 [1.4 s]
Iteration 36 [20.5 s]: HR = 0.6470, NDCG = 0.3785, loss = 0.2642 [1.6 s]
Iteration 37 [20.3 s]: HR = 0.6470, NDCG = 0.3777, loss = 0.2639 [1.4 s]
Iteration 38 [20.5 s]: HR = 0.6478, NDCG = 0.3768, loss = 0.2641 [1.4 s]
Iteration 39 [20.2 s]: HR = 0.6477, NDCG = 0.3786, loss = 0.2640 [1.4 s]
Iteration 40 [22.3 s]: HR = 0.6510, NDCG = 0.3762, loss = 0.2638 [1.6 s]
Iteration 41 [20.2 s]: HR = 0.6500, NDCG = 0.3777, loss = 0.2636 [1.6 s]
Iteration 42 [21.4 s]: HR = 0.6440, NDCG = 0.3749, loss = 0.2636 [1.6 s]
Iteration 43 [20.6 s]: HR = 0.6505, NDCG = 0.3774, loss = 0.2637 [1.4 s]
Iteration 44 [21.4 s]: HR = 0.6457, NDCG = 0.3753, loss = 0.2636 [1.5 s]
Iteration 45 [21.4 s]: HR = 0.6488, NDCG = 0.3763, loss = 0.2637 [1.8 s]
Iteration 46 [23.1 s]: HR = 0.6492, NDCG = 0.3765, loss = 0.2634 [1.5 s]
Iteration 47 [20.9 s]: HR = 0.6488, NDCG = 0.3785, loss = 0.2634 [1.5 s]
Iteration 48 [21.2 s]: HR = 0.6497, NDCG = 0.3777, loss = 0.2634 [1.5 s]
